BSSID,•½‹Ï,•ªŽU
00:01:8e:3f:84:90,-79.85714286,1.054945055
00:01:8e:3f:84:91,-79.80487805,7.61097561
00:01:8e:41:6e:aa,-89,0
00:01:8e:e6:89:9c,-82.12820513,5.535762483
00:01:8e:e6:89:9e,-79.6,9.25
00:0c:e6:0a:08:6c,-53.70588235,122.6584723
00:0c:e6:0a:3b:3a,-54.20833333,2.899647887
00:0c:e6:0a:44:4a,-53.77777778,1.207885305
00:0c:e6:0a:57:47,-68.96969697,84.64522145
00:0c:e6:0a:5e:9d,-65.31168831,17.79630895
00:0c:e6:0a:6e:d6,-61.71428571,2.57518797
00:0c:e6:0a:94:8d,-54.53125,2.25297619
00:0c:e6:0a:99:ff,-62.22077922,2.726930964
00:0c:e6:0a:9e:f7,-63.77922078,3.621667806
00:0c:e6:0a:aa:f5,-60.22077922,14.49008886
00:0c:e6:0a:b0:cf,-63.18181818,18.72966507
00:0c:e6:0a:b7:ff,-46.84415584,27.44907724
00:0c:e6:0a:c7:b7,-46.85714286,30.09774436
00:0c:e6:0a:d5:1a,-53.57575758,0.689393939
00:0c:e6:0a:d6:4e,-48.18181818,37.28229665
00:0c:e6:0a:f5:3c,-63.26086957,2.463768116
00:0d:0b:cc:05:f9,-85.5,2.454545455
00:19:e3:fa:51:de,-81.42857143,3.669172932
00:24:36:ad:ee:16,-84.54545455,3.328671329
00:24:a5:b0:d8:bb,-88,#DIV/0!
00:3a:9d:a8:ab:c6,-78.84722222,6.722809077
00:3a:9d:a8:ab:c7,-87.4,0.583333333
00:a0:b0:c4:91:1c,-70.58441558,6.903964457
00:a0:b0:c4:91:1d,-71.4025974,4.269993165
00:e0:4c:81:98:02,-88,0
06:3a:9d:a8:ab:c7,-88.64285714,1.793650794
10:6f:3f:3d:5f:0a,-82.07272727,6.439057239
10:6f:3f:87:a2:3e,-78.98571429,2.593995859
10:6f:3f:87:a2:3f,-83,#DIV/0!
10:6f:3f:ac:e0:48,-84,0
10:6f:3f:f5:31:6e,-74,#DIV/0!
1c:b1:7f:00:ee:7a,-79.57142857,14.28571429
1c:b1:7f:00:ee:7b,-86.49122807,1.790100251
1e:b1:7f:00:ee:7a,-83,#DIV/0!
1e:b1:7f:00:ee:7b,-87.41935484,1.98519302
24:a2:e1:ec:79:c6,-69.31168831,11.34894053
24:a2:e1:ec:79:c7,-81.45454545,7.014354067
4c:e6:76:56:bb:30,-63.24675325,2.925153794
4c:e6:76:c3:5d:48,-68.42857143,2.721804511
4c:e6:76:c3:5d:49,-79.74025974,7.194805195
60:f8:1d:bc:08:10,-82,0
64:a5:c3:65:c6:0a,-63,#DIV/0!
64:a5:c3:65:c6:0b,-86.55172414,15.54990926
64:a5:c3:66:0a:ac,-69.72727273,6.937799043
64:a5:c3:66:0a:ad,-87,0
74:03:bd:ab:64:80,-81,0
88:1f:a1:2f:2d:64,-72.55844156,8.118250171
88:57:ee:7d:1a:00,-70.72727273,1.937799043
88:57:ee:7d:1a:07,-84.57142857,2.616541353
88:57:ee:8a:53:d8,-70.76623377,4.128844839
90:72:40:10:c9:e5,-87.57142857,1.285714286
90:84:0d:df:47:c7,-78.74242424,2.717249417
9c:5c:8e:8a:58:10,-83,0
a6:12:42:0b:95:9f,-87.85714286,1.928571429
bc:5c:4c:30:0f:e2,-84,0
c0:25:a2:35:b4:f2,-89,4.555555556
c0:25:a2:89:60:1a,-79,6.666666667
c0:25:a2:89:60:1b,-85.01639344,4.516393443
c2:25:a2:ce:b2:12,-70.5974026,6.00683527
c6:25:a2:ce:b2:12,-70.84415584,6.764866712
dc:fb:02:ab:f9:b0,-78.33333333,2
fa:8f:ca:9e:0c:b5,-74.44642857,17.81525974
