BSSID,•½‹Ï,•ªŽU
00:01:8e:3f:84:90,-61,0
00:01:8e:3f:84:91,-72.30769231,17.23076923
00:01:8e:3f:84:92,-81,11.92
00:01:8e:41:6e:aa,-75,0
00:01:8e:e6:89:9c,-86,0
00:01:8e:e6:89:9e,-73,0
00:0c:e6:0a:08:6c,-52.42682927,10.0501355
00:0c:e6:0a:3b:3a,-46.7654321,12.10679012
00:0c:e6:0a:44:4a,-46.97560976,9.258657031
00:0c:e6:0a:57:47,-70.48275862,16.39443436
00:0c:e6:0a:5e:9d,-70.75,11.20253165
00:0c:e6:0a:6e:d6,-53.19512195,7.467630232
00:0c:e6:0a:94:8d,-46.975,10.10063291
00:0c:e6:0a:99:ff,-54.01219512,13.74059018
00:0c:e6:0a:9e:f7,-55.40243902,8.070611262
00:0c:e6:0a:aa:f5,-68.51515152,12.00745921
00:0c:e6:0a:b0:cf,-69.17073171,10.24209575
00:0c:e6:0a:b7:ff,-53.74390244,13.18051792
00:0c:e6:0a:c7:b7,-52.95121951,12.44203553
00:0c:e6:0a:d5:1a,-47.88461538,13.27222777
00:0c:e6:0a:d6:4e,-52.26829268,8.420957543
00:0c:e6:0a:f5:3c,-54.28985507,6.444160273
00:19:e3:fa:51:de,-79.42682927,3.284703403
00:24:36:ad:ee:16,-83.68,1.977297297
00:3a:9d:a8:ab:c6,-66.66666667,3.692307692
00:3a:9d:a8:ab:c7,-83.68292683,3.35501355
00:a0:b0:c4:91:1c,-61.68627451,5.139607843
00:a0:b0:c4:91:1d,-62.55555556,6.742138365
06:3a:9d:a8:ab:c7,-82.85365854,2.64498645
10:6f:3f:3d:5f:0a,-75.61538462,2.423076923
10:6f:3f:87:a2:3e,-68,3.710144928
10:6f:3f:87:a2:3f,-84.35714286,1.506493506
10:6f:3f:f5:31:6e,-75.425,15.225
1c:b1:7f:00:ee:7a,-64.35416667,7.212322695
1c:b1:7f:00:ee:7b,-79.51219512,3.981330924
1e:b1:7f:00:ee:7a,-67.36734694,13.27891156
1e:b1:7f:00:ee:7b,-81.17073171,2.834688347
24:a2:e1:ec:79:c6,-65.92592593,11.29444444
24:a2:e1:ec:79:c7,-84.31428571,5.457142857
4c:e6:76:4f:14:e2,-71.28571429,6.21978022
4c:e6:76:4f:14:e3,-84,0
4c:e6:76:56:bb:30,-54.64473684,6.25877193
4c:e6:76:c3:5d:48,-54.82926829,5.896416742
4c:e6:76:c3:5d:49,-69.86585366,7.450918398
60:f8:1d:af:e2:5c,-71.32926829,5.729750075
64:a5:c3:65:c6:0a,-61.7125,11.80237342
64:a5:c3:65:c6:0b,-73.98701299,5.512987013
64:a5:c3:66:0a:ac,-65.625,6.591772152
74:03:bd:65:74:f0,-77,0
74:03:bd:ab:64:80,-66.38888889,0.987301587
88:1f:a1:2f:2d:64,-70.53846154,7.218461538
88:57:ee:7d:1a:00,-70.12195122,9.194820837
88:57:ee:7d:1a:07,-82.63380282,2.349698189
88:57:ee:8a:53:d8,-63.75609756,2.902740139
90:72:40:10:c9:e4,-68.14285714,17.24738676
90:72:40:10:c9:e5,-84.74242424,3.486480186
90:84:0d:df:47:c7,-75.23076923,13.19230769
90:84:0d:df:47:c8,-85.4,4.333333333
bc:5c:4c:30:0f:e2,-68,0
c0:25:a2:89:60:1a,-72.72727273,20.61818182
c0:25:a2:89:60:1b,-76.90140845,4.547283702
c2:25:a2:ce:b2:12,-67.20253165,8.599480688
c6:25:a2:ce:b2:12,-67.80487805,14.67750678
dc:fb:02:29:23:c0,-72.53623188,9.017050298
dc:fb:02:ab:f9:b0,-70.17391304,6.369082126
dc:fb:02:ab:f9:b5,-86.05,1.207894737
de:fb:02:29:23:c4,-72.24074074,5.959818309
